dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,labels,merged,file
BAY,0011,5,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.74974924,0.734643982,0.035388446,1.523581165,71,39624,39675,9983,BAY_0011_m5_e0.2_f2aeef424bc59a6c.json
BAY,0012,2,NAMOA_dr_goal_epsilon,0.0,exact,True,364,exact,364,2,0.0,0.730552076,1.136276563,1.215054036,3.087038491,190,1451346,1629038,0,BAY_0012_m2_e0.0_1ef75ceef9ab3c80.json
BAY,0012,2,apex_open_merge,0.2,epsilon_cover,True,3,exact,364,2,0.05863725554050103,0.739659884,1.143164349,0.009576071,1.894707125,69,0,1,0,BAY_0012_m2_e0.2_1a901320ecd08216.json
BAY,0012,3,apex_open_merge,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.632193484,1.092485557,2.221842498,3.991670855,312,1279094,1279094,288641,BAY_0012_m3_e0.2_4f1919953cb7137b.json
BAY,0012,5,apex_open_merge,0.2,epsilon_cover,True,23,unavailable_single_config,23,1,,0.745845394,1.255130832,12.03250977,14.12344957,1055,4319528,4327684,1414196,BAY_0012_m5_e0.2_df4f64d396ba82f2.json
BAY,0013,2,NAMOA_dr_goal_epsilon,0.0,exact,True,53,exact,53,2,0.0,0.746850436,0.928960372,0.038513816,1.715903815,79,58001,67863,0,BAY_0013_m2_e0.0_c52cba8d0057820b.json
BAY,0013,2,apex_open_merge,0.2,epsilon_cover,True,6,exact,53,2,0.013195011901801168,0.737154895,0.832140902,0.009945273,1.58218776,68,0,1,0,BAY_0013_m2_e0.2_527c384893d911a7.json
BAY,0013,3,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.743593283,0.928263185,0.285757296,1.972289888,144,268804,268804,66717,BAY_0013_m3_e0.2_e33430c602e62694.json
BAY,0013,5,apex_open_merge,0.2,epsilon_cover,True,33,unavailable_single_config,33,1,,0.746497282,0.960809095,1.311692974,3.041723188,199,706765,712880,224506,BAY_0013_m5_e0.2_221b7c5f182da110.json
BAY,0014,2,NAMOA_dr_goal_epsilon,0.0,exact,True,735,exact,735,2,0.0,0.747291936,0.74944055,0.42582417,1.926732679,99,295807,348372,0,BAY_0014_m2_e0.0_217551320d0d982a.json
BAY,0014,2,apex_open_merge,0.2,epsilon_cover,True,5,exact,735,2,0.053945431023430634,0.606666245,0.635730501,0.00939569,1.25485472,69,0,1,0,BAY_0014_m2_e0.2_448c7d2e278205b7.json
BAY,0014,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.734641002,0.743900137,0.018075828,1.49993542,69,20799,20799,4867,BAY_0014_m3_e0.2_700963408ad7bce1.json
BAY,0014,5,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.730422653,0.93200722,0.049021326,1.717895984,74,64268,64268,17516,BAY_0014_m5_e0.2_879f21c98ddec0fe.json
BAY,0015,2,NAMOA_dr_goal_epsilon,0.0,exact,True,83,exact,83,2,0.0,0.750344786,0.963877615,0.178646596,1.894993453,94,233908,264295,0,BAY_0015_m2_e0.0_ba449f20fa265574.json
BAY,0015,2,apex_open_merge,0.2,epsilon_cover,True,6,exact,83,2,0.01610853420385472,0.73333368,0.918940162,0.00972363,1.665184823,69,0,1,0,BAY_0015_m2_e0.2_52e8eb712e31c266.json
