dataset,query_id,scheme,original_feasible,disrupted_feasible,original_path_blocked,surviving_candidates,path_changed,original_scalar,original_optimal_scalar,disrupted_optimal_scalar,surviving_best_scalar,original_score,original_optimal_score,disrupted_score,original_candidate_gap,intrinsic_closure_relative_loss,recommendation_relative_change,gain_over_surviving_candidate,scalar_seconds,reference_seconds,replan_seconds,expanded,original_c1,disrupted_c1,delta_c1,relative_c1,original_c2,disrupted_c2,delta_c2,relative_c2,original_c3,disrupted_c3,delta_c3,relative_c3,original_c4,disrupted_c4,delta_c4,relative_c4,original_c5,disrupted_c5,delta_c5,relative_c5
BAY,0008,time_priority,True,True,True,9,True,47097989997708440,47097989997708440,52629576130842420,58595547156804760,0.2162921254662263,0.2162921254662263,0.3654974141202634,0.0,0.11744845445427969,0.11744845445427969,0.11335776315451099,0.042182424,0.069132878,0.00381023,1365,355133,376224,21091,0.059389017635646364,490198,764211,274013,0.5589843287814312,454,454,0,0.0,827,813,-14,-0.016928657799274487,162,148,-14,-0.08641975308641975
BAY,0008,stable_priority,True,True,False,9,True,79687116374092555,78847901207989675,78847901207989675,79687116374092555,0.3254773954866308,0.3028409693174366,0.3028409693174366,0.01064346866873664,0.0,-0.0105313782740383,0.01064346866873664,0.037806551,0.066385789,0.001320895,123,574041,561565,-12476,-0.021733639234828173,1435113,1403929,-31184,-0.021729299365276462,374,360,-14,-0.0374331550802139,679,697,18,0.026509572901325478,120,122,2,0.016666666666666666
BAY,0008,balanced,True,True,False,9,True,73731148596590520,72311616392434100,72311616392434100,73731148596590520,0.3674598573084184,0.3291703491678552,0.3291703491678552,0.019630763008430613,0.0,-0.01925281554914041,0.019630763008430613,0.037549843,0.068699989,0.000918931,128,452577,450915,-1662,-0.003672303276569512,1131446,1127293,-4153,-0.0036705242671766923,372,382,10,0.026881720430107527,775,729,-46,-0.05935483870967742,133,127,-6,-0.045112781954887216
BAY,0008,time_shortest,True,True,True,9,True,18050431775668500,18050431775668500,22157026095236500,41588102010221000,0.0,0.0,0.11076851667661296,0.0,0.2275067084602142,0.2275067084602142,0.8769712971165364,0.03801756,0.076698907,0.001618216,3192,356879,371050,14171,0.039708136371151004,469929,576841,106912,0.2275067084602142,452,500,48,0.10619469026548672,851,1165,314,0.3689776733254994,167,213,46,0.2754491017964072
BAY,0009,time_priority,True,True,True,6,True,150517901563165950760100,149908742231068903818310,160160666411121963330810,231213737785138016901520,0.1640655091172822,0.1605574399827702,0.21959693406979827,0.004063534407873895,0.06838776730079406,0.06406390700251262,0.44363621209983894,0.042862784,0.078760592,0.015550958,36062,2270845,2312400,41555,0.018299355526246838,2797378,3266690,469312,0.16776853181800958,4051,4371,320,0.07899284127375956,4020,4016,-4,-0.0009950248756218905,805,798,-7,-0.008695652173913044
BAY,0009,stable_priority,True,True,True,6,True,205949983801529301407445,202650221624968505949625,209046683539466056244175,248654682790765871312245,0.27102011774096035,0.25201721778870456,0.28885360759674195,0.01628304252569459,0.03156405092087717,0.015036173738770453,0.18946963702402958,0.03852928,0.072015002,0.003977838,10598,2666111,2684248,18137,0.006802792531893833,5180267,5935085,754818,0.14571025007012187,3387,3651,264,0.07794508414526129,3574,3434,-140,-0.03917179630665921,659,625,-34,-0.051593323216995446
BAY,0009,balanced,True,True,True,6,True,213778783957109450390900,213191304534935257050720,220391188966866049438360,253491618336294567230260,0.2763018868679075,0.2729186695067034,0.314381864793821,0.0027556443892294124,0.033771942282716134,0.030931062883598634,0.15018944053341846,0.038707796,0.073539833,0.004835787,14098,2359104,2394841,35737,0.015148547923279347,3332604,3887691,555087,0.16656254388460195,3527,4063,536,0.15197051318400906,3848,3758,-90,-0.02338877338877339,745,734,-11,-0.01476510067114094
BAY,0009,time_shortest,True,True,True,6,True,78257139795159144804000,78257139795159144804000,84152856391322099778000,198588169779827272344000,0.0,0.0,0.033952662837207465,0.0,0.07533774696590245,0.07533774696590245,1.359850613464213,0.038165406,0.080909879,0.013072729,41348,2306170,2488854,182684,0.07921532237432627,2728818,2934401,205583,0.07533774696590245,4237,4917,680,0.16049091338211,4314,5366,1052,0.24385720908669448,840,1045,205,0.24404761904761904
BAY,0010,time_priority,True,True,True,1,True,4895432282417275548090,4866011931448709832600,5282430950070772978400,8438376192670740351760,0.0870275791510824,0.08134763922589378,0.16174215974016187,0.0060460910049200565,0.08557706485074047,0.07905301214020767,0.5974418354787363,0.042781377,0.077347027,0.007581346,9942,1041994,1058839,16845,0.016166119958464252,1162427,1374986,212559,0.18285793430469183,1474,1498,24,0.016282225237449117,2741,2853,112,0.04086099963516965,493,506,13,0.02636916835699797
BAY,0010,stable_priority,True,True,True,1,True,5894896579650725655000,5878600203556679313270,6208811887991029309460,8365705458193912913840,0.11137972058585068,0.10823351620129516,0.17198471115428626,0.002772152473336541,0.056171822032490805,0.053252046766001655,0.3473923206426511,0.038803046,0.085414253,0.002253655,4442,1079580,1084468,4888,0.004527686692973193,1492876,1615903,123027,0.08240938966129806,1390,1454,64,0.0460431654676259,2437,2621,184,0.07550266721378744,448,468,20,0.044642857142857144
