dataset,query_id,objective_count,before_status,after_status,before_paths,after_paths,before_search_seconds,after_search_seconds,before_total_seconds,after_total_seconds,before_peak_rss_mb,after_peak_rss_mb,before_labels,after_labels,merged,before_order,after_order,reference_kind,before_empirical_epsilon,after_empirical_epsilon
BAY,0016,3,epsilon_cover,epsilon_cover,10,10,0.049502466,0.015756533,1.269157987,1.153962008,68,69,78126,11288,2446,21345,21345,pooled_empirical,0.00952280829692631,0.015155997016635725
BAY,0016,5,epsilon_cover,epsilon_cover,15,14,0.649890857,0.018345238,2.244560172,1.132252553,97,69,321529,17567,4385,21345,21345,pooled_empirical,0.030593556103760244,0.19036427732079897
BAY,0017,2,epsilon_cover,epsilon_cover,6,6,0.007230657,0.009893773,1.564258538,1.543970287,69,69,1,1,0,21345,21345,exact,0.020642479898962174,0.020642479898962174
BAY,0017,3,epsilon_cover,epsilon_cover,10,10,0.00675453,0.009947193,1.582057789,1.498131537,68,69,1,1,0,21345,21345,pooled_empirical,0.0,0.0
BAY,0017,5,epsilon_cover,epsilon_cover,11,11,0.027176406,0.013596793,1.713564238,1.424811994,68,69,34912,7718,1976,21345,21345,pooled_empirical,0.0,0.0
BAY,0018,2,epsilon_cover,epsilon_cover,4,4,0.015105605,0.014052239,1.552176367,1.194246295,68,68,26305,5920,2536,21345,21345,exact,0.12574934567074392,0.12574934567074392
BAY,0018,3,epsilon_cover,epsilon_cover,11,11,7.341124208,0.036122949,9.013134016,1.306743466,304,72,2385674,49256,17739,21345,21345,pooled_empirical,0.0,0.0
BAY,0018,5,time_limit,epsilon_cover,11,13,30.00158922,0.202378599,31.66958675,1.528199986,305,113,3069629,232231,69730,21345,21345,pooled_empirical,0.18085106382978733,0.0
BAY,0019,2,epsilon_cover,epsilon_cover,5,5,0.006958299,0.008211543,1.243189216,0.97625842,69,69,1,1,0,21345,21345,exact,0.023434773581655133,0.023434773581655133
BAY,0019,3,epsilon_cover,epsilon_cover,9,9,0.008010418,0.009111033,1.475250663,1.269899988,68,69,1,1,0,21345,21345,pooled_empirical,0.0,0.0
BAY,0019,5,epsilon_cover,epsilon_cover,10,10,0.006104036,0.009757888,1.312010646,1.424025102,69,69,1,1,0,21345,21345,pooled_empirical,0.0,0.0
BAY,0020,2,epsilon_cover,epsilon_cover,3,3,0.007793184,0.010967976,1.657121781,1.484488808,69,69,1,1,0,21345,21345,exact,0.08424249212175505,0.08424249212175505
BAY,0020,3,epsilon_cover,epsilon_cover,9,9,1.8134554,0.054334713,3.318840798,1.469033917,192,81,1283473,71551,13764,21345,21345,pooled_empirical,0.0,0.0
BAY,0020,5,epsilon_cover,epsilon_cover,11,12,18.57764424,0.079090016,20.23847886,1.614002918,316,83,3317081,87468,18693,21345,21345,pooled_empirical,0.10651828298887112,0.0
BAY,0021,2,epsilon_cover,epsilon_cover,3,3,0.006782136,0.008466535,1.140035358,0.976319921,68,68,1,1,0,21345,21345,exact,0.0013686899187201895,0.0013686899187201895
BAY,0021,3,epsilon_cover,epsilon_cover,10,10,0.403466363,0.038871661,1.672242875,1.346566807,108,71,517138,43801,9542,21345,21345,pooled_empirical,0.0563964301985902,0.02810304449648715
BAY,0021,5,epsilon_cover,epsilon_cover,11,11,2.544276003,0.032319241,4.232629895,1.301536974,192,71,1099289,39269,10781,21345,21345,pooled_empirical,0.0,0.0
BAY,0022,2,epsilon_cover,epsilon_cover,4,4,0.00773986,0.009951346,1.875603236,1.422202378,68,69,1,1,0,21345,21345,exact,0.059931444562731695,0.059931444562731695
BAY,0022,3,epsilon_cover,epsilon_cover,9,9,0.527966139,0.077670278,2.205286836,1.70257425,136,84,693228,101205,28120,21345,21345,pooled_empirical,0.0,0.0
BAY,0022,5,time_limit,epsilon_cover,11,16,30.00441867,3.043744849,31.88540884,4.849655165,533,312,4586346,1593310,528126,21345,21345,pooled_empirical,0.1896869244935544,0.0
BAY,0023,2,epsilon_cover,epsilon_cover,6,6,0.008462636,0.009410545,1.771621596,1.280811727,68,69,1,1,0,21345,21345,exact,0.020549399993980533,0.020549399993980533
BAY,0023,3,epsilon_cover,epsilon_cover,11,11,2.434378343,0.157918195,4.224431733,1.605112434,192,104,1213857,156040,47246,21345,21345,pooled_empirical,0.0,0.0
BAY,0023,5,time_limit,epsilon_cover,12,13,30.00001151,2.234949054,32.05402186,4.027022348,343,200,4151046,1039018,372963,21345,21345,pooled_empirical,0.15575038679731823,0.0
BAY,0024,2,epsilon_cover,epsilon_cover,5,5,0.007607667,0.00947444,1.526557465,1.184718588,68,69,1,1,0,21345,21345,exact,0.02215072884996583,0.02215072884996583
BAY,0024,3,epsilon_cover,epsilon_cover,10,10,0.051674926,0.019939387,1.716818373,1.578626709,68,69,90975,21715,3756,21345,21345,pooled_empirical,0.0,0.0
BAY,0024,5,time_limit,epsilon_cover,11,12,30.00717548,0.200111879,31.84154106,1.81438542,533,107,5077661,178587,74083,21345,21345,pooled_empirical,0.1590612777053455,0.0
BAY,0025,2,epsilon_cover,epsilon_cover,5,5,0.007291902,0.009638283,2.122662798,1.635238634,68,69,1,1,0,21345,21345,exact,0.03956668178136913,0.03956668178136913
BAY,0025,3,epsilon_cover,epsilon_cover,10,10,0.27018407,0.031860806,2.164581862,1.769921658,98,71,335141,36454,9344,21345,21345,pooled_empirical,0.0,0.0
BAY,0025,5,epsilon_cover,epsilon_cover,12,12,1.128277835,0.047064247,3.32593225,1.877970231,136,70,692180,33419,8609,21345,21345,pooled_empirical,0.0,0.0
BAY,0026,2,epsilon_cover,epsilon_cover,3,3,0.006103536,0.009209966,0.983781028,0.948135461,68,69,1,1,0,21345,21345,exact,0.03385457388584823,0.03385457388584823
BAY,0026,3,epsilon_cover,epsilon_cover,10,11,0.096323295,0.026928897,1.186743749,1.284125916,75,70,157551,28615,7338,21345,21345,pooled_empirical,0.04081632653061229,0.01775147928994092
BAY,0026,5,epsilon_cover,epsilon_cover,14,24,1.90236159,0.048825969,3.555222775,1.396887019,136,72,915304,52232,18148,21345,21345,pooled_empirical,0.1415302516936663,0.1095890410958904
BAY,0027,2,epsilon_cover,epsilon_cover,4,4,0.007424376,0.009265755,1.008764946,0.898930194,68,69,1,1,0,21345,21345,exact,0.0032998753936994696,0.0032998753936994696
BAY,0027,3,epsilon_cover,epsilon_cover,5,5,0.017424611,0.011522281,1.150627109,1.116114661,69,69,31343,3403,1340,21345,21345,pooled_empirical,0.0,0.0
BAY,0027,5,epsilon_cover,epsilon_cover,9,9,0.096186006,0.012697452,1.271697094,1.180570242,69,68,119205,6377,2356,21345,21345,pooled_empirical,0.0,0.0
BAY,0028,2,epsilon_cover,epsilon_cover,3,3,0.007073316,0.008867696,0.885874399,0.886251638,68,68,1,1,0,21345,21345,exact,0.041272722688651786,0.041272722688651786
BAY,0028,3,epsilon_cover,epsilon_cover,7,7,0.0076065,0.010358762,1.277348992,0.976373243,68,68,1,1,0,21345,21345,pooled_empirical,0.0,0.0
BAY,0028,5,epsilon_cover,epsilon_cover,10,10,0.006764483,0.009744004,1.350116988,1.091618392,68,68,136,80,7,21345,21345,pooled_empirical,0.0,0.0
BAY,0029,2,epsilon_cover,epsilon_cover,5,5,0.006491244,0.012517863,1.14451275,1.125777677,68,69,1,1,0,21345,21345,exact,0.019588116341539452,0.019588116341539452
BAY,0029,3,epsilon_cover,epsilon_cover,10,10,0.005847823,0.010163348,1.048226608,1.024298134,69,69,28,26,2,21345,21345,pooled_empirical,0.0,0.0
BAY,0029,5,epsilon_cover,epsilon_cover,9,9,0.006317331,0.013235551,1.209942989,1.417690288,68,68,177,137,6,21345,21345,pooled_empirical,0.0,0.0
BAY,0030,2,epsilon_cover,epsilon_cover,4,4,0.008302044,0.008786273,1.828721675,1.572488715,68,69,1,1,0,21345,21345,exact,0.039895590083099286,0.039895590083099286
BAY,0030,3,epsilon_cover,epsilon_cover,10,10,0.099970986,0.031637242,1.535360621,1.641994891,74,70,149680,31070,6616,21345,21345,pooled_empirical,0.163498154353233,0.163498154353233
BAY,0030,5,epsilon_cover,epsilon_cover,12,12,0.215021568,0.014826644,1.69881324,1.386788607,76,69,179995,12371,3190,21345,21345,pooled_empirical,0.1146100054078023,0.1146100054078023
COL,0001,2,epsilon_cover,epsilon_cover,5,5,0.010403835,0.011719968,2.366986557,1.713735713,89,89,1,1,0,21345,21345,exact,0.018854066408150683,0.018854066408150683
COL,0001,3,epsilon_cover,epsilon_cover,11,11,0.488139511,0.034388974,2.50602149,2.100391026,155,89,650633,48868,16935,21345,21345,pooled_empirical,0.0019946808510638014,0.0018644929178506242
COL,0001,5,time_limit,epsilon_cover,11,13,30.00624342,1.381336967,32.7123283,3.599313224,547,214,5173847,921961,302657,21345,21345,pooled_empirical,0.23693582552564152,0.10785463071512313
COL,0002,2,epsilon_cover,epsilon_cover,7,7,0.010105864,0.013719436,2.810226813,2.428372789,89,89,1,1,0,21345,21345,exact,0.009702043059137022,0.009702043059137022
COL,0002,3,time_limit,epsilon_cover,11,11,30.00089446,0.765832287,32.86537275,3.226783935,547,214,8101342,651577,221410,21345,21345,pooled_empirical,0.0,0.0
COL,0002,5,time_limit,epsilon_cover,12,19,30.00741815,8.736616917,32.68057713,11.10019311,562,625,5281123,4163514,1404778,21345,21345,pooled_empirical,0.21954970092259152,0.0
COL,0003,2,epsilon_cover,epsilon_cover,4,4,0.010130336,0.011617593,2.319869485,2.225846358,89,89,1,1,0,21345,21345,exact,0.03703485246176852,0.03703485246176852
COL,0003,3,epsilon_cover,epsilon_cover,9,9,0.00829354,0.014346207,2.535870399,2.471133386,89,89,1,1,0,21345,21345,pooled_empirical,0.0,0.0
COL,0003,5,epsilon_cover,epsilon_cover,9,9,9.180699934,0.053703183,11.54398501,2.225107055,324,96,2972212,69481,20562,21345,21345,pooled_empirical,0.0,0.0
COL,0004,2,epsilon_cover,epsilon_cover,5,5,0.008276517,0.014591819,1.788919664,1.532593569,89,89,1,1,0,21345,21345,exact,0.04161340084369347,0.04161340084369347
