dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,file
BAY,0010,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.78303269,1.144040205,0.007983966,1.937450994,68,0,BAY_0010_m3_e0.2_ad3d525dc08d2e1b.json
BAY,0010,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.606816099,0.858016347,0.004855269,1.471163957,68,0,BAY_0010_m5_e0.2_958cce14fab47d32.json
BAY,0011,2,NAMOA_dr_goal_epsilon,0.0,exact,True,94,exact,94,2,0.0,0.72741308,0.571272264,0.022183631,1.322597623,68,32051,BAY_0011_m2_e0.0_e6ce492992d14e11.json
BAY,0011,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,4,exact,94,2,0.025215777029806485,0.618860699,0.539344967,0.005449444,1.16505001,68,0,BAY_0011_m2_e0.2_242cc25412cad110.json
BAY,0011,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.778220397,0.824595512,0.007744334,1.612901716,68,0,BAY_0011_m3_e0.2_7a95eaf0e9314279.json
BAY,0011,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.632383998,0.660222161,0.454302492,1.750899437,99,333704,BAY_0011_m5_e0.2_4b3de5d1b62dabf5.json
BAY,0012,2,NAMOA_dr_goal_epsilon,0.0,exact,True,364,exact,364,2,0.0,0.758424128,1.345598388,1.298006308,3.412583783,190,1451346,BAY_0012_m2_e0.0_d19a0fa8625209ae.json
BAY,0012,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,3,exact,364,2,0.05863725554050103,0.751126045,1.191407059,0.00545739,1.949849276,69,0,BAY_0012_m2_e0.2_12031f6041d07d7e.json
BAY,0012,3,NAMOA_dr_goal_epsilon,0.2,time_limit,False,9,unavailable_single_config,9,1,,0.782639596,1.520533551,30.00219902,32.3548009,532,5138733,BAY_0012_m3_e0.2_1c443578012897ce.json
BAY,0012,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,11,unavailable_single_config,11,1,,0.784318209,1.505266476,30.00058059,32.32247546,341,3414840,BAY_0012_m5_e0.2_88f2c75f1bd3935e.json
BAY,0013,2,NAMOA_dr_goal_epsilon,0.0,exact,True,53,exact,53,2,0.0,0.754612916,0.988442158,0.044131745,1.790135394,70,58001,BAY_0013_m2_e0.0_98f57eeef56a5d35.json
BAY,0013,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,6,exact,53,2,0.013195011901801168,0.628380251,0.735103092,0.006251516,1.371440558,68,0,BAY_0013_m2_e0.2_61ce3a69b007678c.json
BAY,0013,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.720353007,1.001810488,6.195407397,7.945675157,304,3251115,BAY_0013_m3_e0.2_aee7887775d185fe.json
BAY,0013,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,11,unavailable_single_config,11,1,,0.746693244,0.968323333,30.00259648,31.74511665,570,3649266,BAY_0013_m5_e0.2_28b7fa53809e8048.json
BAY,0014,2,NAMOA_dr_goal_epsilon,0.0,exact,True,735,exact,735,2,0.0,0.758760717,0.810023624,0.465854053,2.03875113,99,295807,BAY_0014_m2_e0.0_55c901cfde020341.json
BAY,0014,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,5,exact,735,2,0.053945431023430634,0.628093877,0.620679807,0.005666003,1.255931182,68,0,BAY_0014_m2_e0.2_df74715fa4cca794.json
